Weapon URL Name,Average Buyout Rank,Riven Count Rank,Rank Gap,Average Buyout Price,Number of Rivens
laetum,14,47.0,33.0,1289.3825198637912,881.0
dual_ichor,5,30.0,25.0,1603.125112511251,1111.0
ceramic_dagger,2,22.0,20.0,2021.3390946502057,1215.0
hate,17,37.0,20.0,1179.857142857143,980.0
nataruk,29,44.0,15.0,977.0505675954593,969.0
phenmor,22,36.0,14.0,1104.4713438735178,1012.0
skana,13,23.0,10.0,1325.4809917355371,1210.0
ocucor,3,12.0,9.0,2001.8313021167414,1559.0
burston,7,16.0,9.0,1598.6379182156134,1345.0
dual_toxocyst,6,14.0,8.0,1599.7493421052632,1520.0
glaive,4,10.0,6.0,1965.7868649318464,1614.0
nikana,26,32.0,6.0,1029.8903467666355,1067.0
torid,1,6.0,5.0,2551.1386249301286,1789.0
latron,10,5.0,-5.0,1382.1157894736841,1805.0
cerata,44,39.0,-5.0,861.1733333333333,975.0
knell,46,40.0,-6.0,855.7135523613963,974.0
zenith,19,9.0,-10.0,1140.0330679730557,1633.0
rubico,24,11.0,-13.0,1085.1294559099438,1599.0
tonkor,37,24.0,-13.0,906.0548628428928,1203.0
vectis,23,7.0,-16.0,1098.8402574605032,1709.0
akarius,45,27.0,-18.0,858.54986760812,1133.0
ogris,21,2.0,-19.0,1113.4500256278832,1951.0
felarx,20,1.0,-19.0,1123.8635931558936,2104.0
shedu,49,25.0,-24.0,843.8667232597624,1178.0
tenet_envoy,43,18.0,-25.0,866.1662799690641,1293.0
phantasma,39,13.0,-26.0,900.6699475065617,1524.0
acceltra,48,15.0,-33.0,854.1655266757866,1462.0
boar,41,3.0,-38.0,876.865091863517,1905.0
velocitus,8,,,1518.7219662058371,
magistar,9,,,1412.560468140442,
verglas,11,,,1372.0872340425533,
corvas,12,,,1339.8117283950617,
onos,15,,,1237.4727272727273,
bo,16,,,1188.919799498747,
arca_titron,18,,,1163.6368421052632,
tenet_diplos,25,,,1071.8663171690694,
furis,27,,,1010.5112359550562,
nami_solo,28,,,990.8825214899714,
fragor,30,,,973.6063432835821,
syam,31,,,971.4143356643357,
lex,32,,,962.5398230088496,
pennant,33,,,956.3973799126637,
mausolon,34,,,933.2818532818533,
kronsh,35,,,916.590051457976,
angstrum,36,,,909.1455938697318,
balla,38,,,901.859393939394,
dual_decurion,40,,,882.5657142857143,
stahlta,42,,,869.8836206896551,
cycron,47,,,854.277108433735,
spectra,50,,,841.0681818181819,
